street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
800 w 9th st,8129962345,47546,,037,123,jasper,IN,memorial hospital and health care center,,150115,Short Term,true,,,
,,46511,,099,50,culver,IN,culver military academy hosp unit,,15011E,,false,,,
901 macarthur blvd,2198361600,46321,,089,437,munster,IN,community hospital,,150125,Short Term,true,,,
1201 s main st,2197576100,46307,true,089,208,crown point,IN,franciscan health crown point,,150126,Short Term,true,,,
1402 e county line rd s,3178877000,46227,,097,127,indianapolis,IN,community hospital south,,150128,Short Term,true,,,
hanover college,,47243,,077,15,hanover,IN,newby hosp,,15012E,,false,,,
2101 e dubois dr,5742673200,46580,true,085,72,warsaw,IN,lutheran kosciusko hospital,,150133,Short Term,true,,,
401 sawyer rd,2603478700,46755,,113,31,kendallville,IN,parkview noble hospital,,150146,Short Term,true,,,
4199 gateway blvd,8128424200,47630,true,173,74,newburgh,IN,women's hospital the,,150149,Short Term,true,,,
2520 e dupont rd,2604163000,46825,true,3,131,fort wayne,IN,dupont hospital llc,,150150,Short Term,true,,,
10580 n meridian st,3175835000,46290,true,057,107,carmel,IN,ascension st vincent heart center,,150153,Short Term,true,,,
13500 n meridian st,3175827000,46032,,057,107,carmel,IN,ascension st vincent carmel,,150157,Short Term,true,,,
1111 n ronald reagan pkwy,3172173000,46123,true,063,127,avon,IN,iu health west hospital,,150158,Short Term,true,,,
8400 northwest blvd,3179561000,46278,,097,38,indianapolis,IN,orthoindy hospital,,150160,Short Term,true,,,
11700 n meridian st,3176882000,46032,,057,149,carmel,IN,indiana university health north hospital,,150161,Short Term,true,,,
8111 s emerson ave,3175285000,46237,true,097,385,indianapolis,IN,franciscan health indianapolis,,150162,Short Term,true,,,
701 superior ave,2199224200,46321,,089,63,munster,IN,franciscan health munster,,150165,Short Term,true,,,
9301 connecticut dr,2197562100,46307,,089,18,crown point,IN,pinnacle hospital,,150166,Short Term,true,,,
11130 parkview circle dr,2606724050,46845,,3,49,fort wayne,IN,orthopaedic hospital at parkview north llc,,150167,Short Term,true,,,
7952 w jefferson blvd,2604352999,46804,true,3,44,fort wayne,IN,the orthopaedic hospital of lutheran health networ,,150168,Short Term,true,,,
7150 clearvista dr,3176215335,46256,,097,298,indianapolis,IN,community hospital north,,150169,Short Term,true,,,
4023 reas ln,8122067660,47150,,043,12,new albany,IN,physicians' medical center llc,,150172,Short Term,true,,,
5165 mccarty ln,7654488000,47905,,157,191,lafayette,IN,indiana university health arnett hospital,,150173,Short Term,true,,,
4455 edison lakes pkwy,5742316800,46545,,141,29,mishawaka,IN,unity physicians hospital,,150177,Short Term,true,,,
8102 clearvista parkway,3178498222,46256,,097,86,indianapolis,IN,community fairbanks recovery center,,150179,Short Term,true,,,
13861 olio road,3174159000,46037,,057,46,fishers,IN,ascension st vincent fishers,,150181,Short Term,true,,,
4011 s monroe medical park blvd,8128251111,47403,true,105,32,bloomington,IN,monroe hospital,,150183,Short Term,true,,,
1420 n senate ave suite a,3176340920,46202,true,097,1,indianapolis,IN,indiana kidney institute,,150186,Short Term,true,,,
1010 w sr 2,2195756700,46350,,091,8,la porte,IN,"franciscan beacon hospital, llc",,150191,Short Term,true,,,
10777 illinois street,5742563935,46032,true,057,23,carmel,IN,franciscan health orthopedic hospital carmel,,150193,Short Term,true,,,
1020 high rd,5745462211,46506,,099,24,bremen,IN,community hospital of bremen inc,,151300,Critical Access Hospitals,true,,,
473 e greenville ave,7655840004,47394,,135,25,winchester,IN,ascension st vincent randolph,,151301,Critical Access Hospitals,true,,,
410 pilgrim blvd,7653480300,47348,,9,15,hartford city,IN,indiana university health blackford hospital,,151302,Critical Access Hospitals,true,,,
301 henry st,8123524228,47265,true,079,19,north vernon,IN,ascension st vincent jennings,,151303,Critical Access Hospitals,true,,,
1300 n main st,7659327513,46173,,139,25,rushville,IN,rush memorial hospital,,151304,Critical Access Hospitals,true,,,
616 e 13th st,5749462100,46996,,131,25,winamac,IN,pulaski memorial hospital,,151305,Critical Access Hospitals,true,,,
642 w hospital rd,8127232811,47454,,117,25,paoli,IN,indiana university health paoli hospital,,151306,Critical Access Hospitals,true,,,
412 n monroe st,7657624001,47993,true,171,16,williamsport,IN,ascension st vincent williamsport,,151307,Critical Access Hospitals,true,,,
1331 s a st,7655524743,46036,true,095,25,elwood,IN,ascension st vincent mercy,,151308,Critical Access Hospitals,true,,,
1206 e national ave,8124422500,47834,,021,25,brazil,IN,ascension st vincent clay,,151309,Critical Access Hospitals,true,,,
10 john kissinger drive,2605633131,46992,,169,50,wabash,IN,"parkview wabash hospital, inc",,151310,Critical Access Hospitals,true,,,
1000 s main st,7656758500,46072,,159,25,tipton,IN,indiana university health tipton hospital inc,,151311,Critical Access Hospitals,true,,,
720 south sixth st,5745837111,47960,,181,25,monticello,IN,indiana university health white memorial hospital,,151312,Critical Access Hospitals,true,,,
1400 e 9th st,5742233141,46975,,049,25,rochester,IN,woodlawn hospital,,151313,Critical Access Hospitals,true,,,
911 n shelby st,8128835881,47167,,175,25,salem,IN,ascension st vincent salem,,151314,Critical Access Hospitals,true,,,
416 e maumee st,2606652141,46703,,151,25,angola,IN,cameron memorial community hospital inc,,151315,Critical Access Hospitals,true,,,
1300 s jackson st,7656563000,46041,,023,25,frankfort,IN,indiana university health frankfort inc,,151316,Critical Access Hospitals,true,,,
1185 n 1000 w,8128472281,47441,,055,25,linton,IN,greene county general hospital,,151317,Critical Access Hospitals,true,,,
275 w 12th st,7654728000,46970,true,103,25,peru,IN,dukes memorial hospital,,151318,Critical Access Hospitals,true,,,
1808 sherman dr,8123853401,47670,,051,25,princeton,IN,deaconess gibson hospital,,151319,Critical Access Hospitals,true,,,
500 w votaw st,2607267131,47371,,075,35,portland,IN,iu health jay,,151320,Critical Access Hospitals,true,,,
8885 sr 237,8125477011,47586,,123,25,tell city,IN,perry county memorial hospital,,151322,Critical Access Hospitals,true,,,
207 n townline rd,2604639000,46761,,087,25,lagrange,IN,parkview lagrange hospital,,151323,Critical Access Hospitals,true,,,
1104 e grace st,2198665141,47978,,073,46,rensselaer,IN,"franciscan health rensselaer, inc",,151324,Critical Access Hospitals,true,,,
1116 millis ave,8128974800,47601,,173,35,boonville,IN,ascension st vincent warrick,,151325,Critical Access Hospitals,true,,,
801 s main st,7658321234,47842,,165,25,clinton,IN,union hospital clinton,,151326,Critical Access Hospitals,true,,,
2200 n section st,8122684311,47882,,153,25,sullivan,IN,sullivan county community hospital,,151327,Critical Access Hospitals,true,,,
2900 w 16th st,8122751200,47421,,093,25,bedford,IN,indiana university health bedford hospital,,151328,Critical Access Hospitals,true,,,
321 mitchell ave,8129346624,47006,,137,25,batesville,IN,margaret mary health,,151329,Critical Access Hospitals,true,,,
1100 mercer ave,2607242145,46733,,1,35,decatur,IN,adams memorial hospital,,151330,Critical Access Hospitals,true,,,
1141 hospital dr nw,8127384251,47112,,061,25,corydon,IN,harrison county hospital,,151331,Critical Access Hospitals,true,,,
720 n lincoln st,8126634331,47240,,031,25,greensburg,IN,decatur county memorial hospital,,151332,Critical Access Hospitals,true,,,
1542 s bloomington st,7653017300,46135,,133,25,greencastle,IN,putnam county hospital,,151333,Critical Access Hospitals,true,,,
1451 n gardner st,8127523456,47170,true,143,25,scottsburg,IN,scott memorial health,,151334,Critical Access Hospitals,true,,,
1600 23rd st,8122753331,47421,,093,25,bedford,IN,ascension st vincent dunn,,151335,Critical Access Hospitals,true,,,
3940 e 56th st,3172572201,46220,true,097,25,indianapolis,IN,midland house inc,,151992,Religious Non-Medical Health Care Institutions,true,,,
1700 w 10th st,3176364400,46222,true,097,59,indianapolis,IN,kindred hospital indianapolis,,152007,Long Term,true,,,
8060 knue road,3178138900,46250,true,097,45,indianapolis,IN,kindred hospital indianapolis north,,152013,Long Term,true,,,
400  se 4th st,8124212330,47713,true,163,60,evansville,IN,select specialty hospital-evansville,,152014,Long Term,true,,,
8050 township line rd,3174158500,46260,true,097,74,indianapolis,IN,ascension st vincent seton specialty hospital,,152020,Long Term,true,,,
4321 fir st 4th fl,2193927799,46312,true,089,61,east chicago,IN,regency hospital of northwest indiana,,152024,Long Term,true,,,
2401 w university ave 5th floor east tower,7657515253,47303,true,035,32,muncie,IN,central indiana  amg specialty hospital llc,,152025,Long Term,true,,,
9509 georgia street,2194722200,46307,true,089,40,crown point,IN,vibra hospital of northwestern indiana,,152028,Long Term,true,,,
9355 warrick trail,8124769983,47630,true,173,103,newburgh,IN,encompass health deaconess rehabilitation hospital,,153025,Rehabilitation,true,,,
4141 shore dr,3173292000,46254,,097,91,indianapolis,IN,rehabilitation hospital of indiana inc,,153028,Rehabilitation,true,,,
7970 w jefferson blvd,2604356100,46804,true,3,36,fort wayne,IN,rehabilitation hospital of fort wayne general par,,153030,Rehabilitation,true,,,
3104 blackiston blvd,8129416106,47150,,043,60,new albany,IN,southern indiana rehabilitation hospital,,153037,Rehabilitation,true,,,
950 park east blvd,7654474040,47905,true,157,40,lafayette,IN,lafayette regional rehabilitation hospital,,153042,Rehabilitation,true,,,
7343 clearvista drive,3175855400,46256,true,097,60,indianapolis,IN,community health network rehabilitation hospital,,153043,Rehabilitation,true,,,
607 south greenwood springs drive,3172153808,46143,true,081,44,greenwood,IN,community health network rehabilitation hosp so,,153044,Rehabilitation,true,,,
10215 broadway avenue,2196616055,46307,,089,40,crown point,IN,"community stroke and rehabilitation center, inc",,153045,Rehabilitation,true,,,
2101 broadway street,8129136880,47129,true,019,42,clarksville,IN,pam health rehabilitation hospital of greater indi,,153046,Rehabilitation,true,,,
4807 edison lakes parkway,5742437727,46545,true,141,40,mishawaka,IN,"rehabilitation hospital of northern indiana, llc",,153047,Rehabilitation,true,,,
1260 city center drive,4633339110,46032,true,057,40,carmel,IN,"indianapolis rehabilitation hospital, llc",,153048,Rehabilitation,true,,,
3050 n lintel drive,2054100422,47404,true,105,40,bloomington,IN,bloomington regional rehabilitation hospital llc,,153049,Rehabilitation,true,,,
2900 n river rd,7654640400,47906,,157,16,west lafayette,IN,river bend hospital,,154005,Psychiatric,true,,,
5435 e 16th st,3179414000,46218,true,097,159,indianapolis,IN,neurodiagnostic institute,,154008,Psychiatric,true,,,
620 8th ave,8122318285,47804,,167,16,terre haute,IN,hamilton center inc,,154009,Psychiatric,true,,,
285 bielby rd,8125371302,47025,true,029,16,lawrenceburg,IN,community mental health center inc,,154011,Psychiatric,true,,,
9 pequignot dr,5742677169,46562,,085,16,pierceton,IN,otis r bowen center for human services inc,,154014,Psychiatric,true,,,
498 nw 18th st,7659660511,47374,true,177,312,richmond,IN,richmond state hospital,,154018,Psychiatric,true,,,
711 green rd,8122652611,47250,true,077,332,madison,IN,madison state hospital,,154019,Psychiatric,true,,,
8555 taft st,2197694005,46410,,089,16,merrillville,IN,regional mental health center,,154020,Psychiatric,true,,,
505 wabash ave,7656623971,46952,,053,16,marion,IN,"grant-blackford mental health, inc",,154021,Psychiatric,true,,,
898 e main st,3178835300,46143,true,081,96,greenwood,IN,valle vista health system,,154024,Psychiatric,true,,,
330 lakeview dr,5745331234,46527,,039,16,goshen,IN,oaklawn psychiatric center inc,,154031,Psychiatric,true,,,
1015 michigan ave,5747225151,46947,,017,15,logansport,IN,four county counseling center,,154035,Psychiatric,true,,,
3600 n prow rd,8123318000,47404,true,105,78,bloomington,IN,bloomington meadows hospital,,154041,Psychiatric,true,,,
1800 n oak rd,5749363784,46563,,099,51,plymouth,IN,michiana behavioral health center,,154047,Psychiatric,true,,,
1850 wesley rd,2609270726,46706,,033,16,auburn,IN,northeastern center,,154050,Psychiatric,true,,,
2700 vissing park rd,8122848000,47130,true,019,100,jeffersonville,IN,wellstone regional hospital,,154051,Psychiatric,true,,,
701 wall st,2195313500,46383,,127,16,valparaiso,IN,porter-starke services inc,,154052,Psychiatric,true,,,
1980 e woodsmall dr,8122988888,47802,,167,44,terre haute,IN,harsha behavioral center inc,,154054,Psychiatric,true,,,
4488 roslin rd,8128587200,47630,,173,48,newburgh,IN,brentwood springs,,154055,Psychiatric,true,,,
3400 lincoln avenue,8124696800,47714,true,163,168,evansville,IN,evansville state hospital,,154056,Psychiatric,true,,,
5602 caito drive,3175444340,46226,true,097,40,indianapolis,IN,options behavioral health system,,154057,Psychiatric,true,,,
417 s whitlock st,5745460330,46506,true,099,37,bremen,IN,doctors neuropsychiatric hospital,,154058,Psychiatric,true,,,
833 park east blvd,7657434400,47905,true,157,48,lafayette,IN,sycamore springs hospital llc,,154059,Psychiatric,true,,,
1909 carew street,2604812700,46805,,3,16,fort wayne,IN,"park center, inc",,154060,Psychiatric,true,,,
1625 east jefferson blvd,5744851703,46545,true,141,30,mishawaka,IN,medical behavioral hospital - mishawaka,,154061,Psychiatric,true,,,
"6720 parkdale place, suite 100",3177449200,46254,true,097,50,indianapolis,IN,"neuropsychiatric hospital of indianapolis, llc",,154063,Psychiatric,true,,,
900 north high school road,3179823715,46214,true,097,23,indianapolis,IN,assurance health psychiatric hospital,,154064,Psychiatric,true,,,
9330 broadway,5742772630,46307,true,089,70,crown point,IN,neuro behavioral hospital,,154065,Psychiatric,true,,,
1612 blackiston view drive,5743393094,47129,true,019,22,clarksville,IN,brightwell behavioral health,,154066,Psychiatric,true,,,
1051 southfield drive,8449919900,46168,true,063,28,plainfield,IN,hendricks behavioral hospital,,154067,Psychiatric,true,,,
1167 wilson dr,6157260010,46143,true,081,64,greenwood,IN,medical behavioral hospital of indianapolis,,154068,Psychiatric,true,,,
7950 w jefferson blvd,2604357101,46804,,3,0,fort wayne,IN,lutheran hospital of indiana th,,159801,Transplant Hospitals,true,,,
2001 w 86th st,3172809566,46260,,097,0,indianapolis,IN,st vincent hospital,,159802,Transplant Hospitals,true,,,
1701 north senate blvd,3179628677,46206,,097,0,indianapolis,IN,indiana university health transplant,,159803,Transplant Hospitals,true,,,
3300 e morgan ave,8124776436,47715,,163,28,evansville,IN,evansville psychiatric children's center,,15J200,Medicaid Only Children's Psychiatric,true,,,
55 unitypoint way,6417545151,50158,,127,49,marshalltown,IA,unitypoint health - marshalltown,,160001,Short Term,true,,,
311 south clark street,7127923581,51401,,027,142,carroll,IA,st anthony regional hospital & nursing home,,160005,Short Term,true,,,
1600 morgan street,3195247150,52632,,111,71,keokuk,IA,blessing health keokuk,,160008,Short Term,true,,,
1518 mulberry avenue,5632649100,52761,,139,80,muscatine,IA,trinity muscatine,,160013,Short Term,true,,,
802 kenyon rd,5155733101,50501,,187,174,fort dodge,IA,trinity regional medical center,,160016,Short Term,true,,,
800 mercy drive,7123285000,51503,,155,194,council bluffs,IA,chi health mercy council bluffs,,160028,Short Term,true,,,
500 e market street,3193390300,52245,,103,234,iowa city,IA,mercy hospital,,160029,Short Term,true,,,
1111 duff avenue,5152392011,50010,,169,220,ames,IA,mary greeley medical center,,160030,Short Term,true,,,
204 n 4th ave e,6417921273,50208,,099,68,newton,IA,mercyone newton medical center,,160032,Short Term,true,,,
1227 east rusholme street,5634211000,52803,,163,502,davenport,IA,genesis medical center-davenport,,160033,Short Term,true,,,
3600 30th street,5150000000,50309,,153,386,des moines,IA,va hosp,,16003F,,false,,,
515 college street,3192683000,50613,,013,83,cedar falls,IA,mercyone cedar falls medical center,,160040,Short Term,true,,,
1026 a ave ne,3193697211,52402,,113,532,cedar rapids,IA,st lukes hospital,,160045,Short Term,true,,,
933 east pierce street,7123966000,51503,,155,236,council bluffs,IA,methodist jennie edmundson,,160047,Short Term,true,,,
601 highway 6 west,5150000000,52240,,103,475,iowa city,IA,va hosp,,16004F,,false,,,
1221 south gear avenue,3197681000,52655,,057,173,west burlington,IA,southeast iowa regional medical center,,160057,Short Term,true,,,
200 hawkins drive,3193561616,52242,,103,1103,iowa city,IA,university of iowa hospital & clinics,,160058,Short Term,true,,,
west pleasant st,,50138,,125,1369,knoxville,IA,va hosp,,16005F,,false,,,
1000 fourth street sw,6414287000,50401,,033,350,mason city,IA,mercyone north iowa medical center,,160064,Short Term,true,,,
3421 west ninth street,3192728000,50702,,013,423,waterloo,IA,mercyone waterloo medical center,,160067,Short Term,true,,,
250 mercy drive,5635898000,52001,,061,524,dubuque,IA,mercyone dubuque medical center,,160069,Short Term,true,,,
701 10th street se,3193986011,52403,,113,347,cedar rapids,IA,mercy medical center - cedar rapids,,160079,Short Term,true,,,
1410 north 4th street,5632445555,52732,,045,147,clinton,IA,mercyone clinton medical center,,160080,Short Term,true,,,
1200 pleasant street,5152416212,50309,,153,674,des moines,IA,unitypoint health - des moines iowa methodist medi,,160082,Short Term,true,,,
1111 6th ave,5152473121,50314,,153,649,des moines,IA,mercyone des moines medical center,,160083,Short Term,true,,,
1001 e pennsylvania,6416827511,52501,,179,235,ottumwa,IA,ottumwa regional health center,,160089,Short Term,true,,,
1801 hickman road,5152822200,50314,,153,200,des moines,IA,broadlawns medical center,,160101,Short Term,true,,,
4500 utica ridge road,5637425000,52722,,163,150,bettendorf,IA,trinity bettendorf,,160104,Short Term,true,,,
1825 logan avenue,3192353941,50703,,013,234,waterloo,IA,allen hospital,,160110,Short Term,true,,,
1200 1st avenue east,7122648300,51301,,041,93,spencer,IA,spencer municipal hospital,,160112,Short Term,true,,,
350 north grandview avenue,5635821881,52001,,061,158,dubuque,IA,finley hospital,,160117,Short Term,true,,,
2301 highway 71,7123361230,51360,,059,49,spirit lake,IA,lakes regional healthcare,,160124,Short Term,true,,,
2720 stone park boulevard,7122793500,51104,,193,201,sioux city,IA,st lukes regional medical center,,160146,Short Term,true,,,
210 fourth avenue,6412367511,50112,,157,49,grinnell,IA,grinnell regional medical center,,160147,Short Term,true,,,
801 5th st,7122792010,51101,,193,267,sioux city,IA,mercyone siouxland medical center,,160153,Short Term,true,,,
highway 965 po box a,3196264417,52319,,105,23,oakdale,IA,iowa medical and classification center,,16016E,,false,,,
255 n welch avenue,7129572300,51245,,141,14,primghar,IA,mercyone primghar medical center,,161300,Critical Access Hospitals,true,,,
403 first street se,6414443223,50421,,197,25,belmond,IA,iowa specialty hospital - belmond,,161301,Critical Access Hospitals,true,,,
1316 south main street,5155322811,50525,,197,25,clarion,IA,iowa specialty hospital - clarion,,161302,Critical Access Hospitals,true,,,
201 east j avenue,3198245421,50638,,075,25,grundy center,IA,grundy county memorial hospital,,161303,Critical Access Hospitals,true,,,
603 rosary drive,6413223121,50841,,3,22,corning,IA,chi health - mercy corning,,161304,Critical Access Hospitals,true,,,
606 n w 7th street,7123353501,50574,,151,25,pocahontas,IA,pocahontas community hospital,,161305,Critical Access Hospitals,true,,,
1795 highway 64 east,3194626131,52205,,105,25,anamosa,IA,jones regional medical center,,161306,Critical Access Hospitals,true,,,
532 1st st nw,6418435000,50423,,081,25,britt,IA,hancock county health system,,161307,Critical Access Hospitals,true,,,
1720 central avenue east,6414565000,50441,,069,77,hampton,IA,franklin general hospital,,161308,Critical Access Hospitals,true,,,
631 n 8th st,7126422784,51555,,085,25,missouri valley,IA,chi health missouri valley,,161309,Critical Access Hospitals,true,,,
609 se kent,6417432123,50849,,1,25,greenfield,IA,adair county memorial hospital,,161310,Critical Access Hospitals,true,,,
1111 11th street,7125513100,51023,,167,25,hawarden,IA,hawarden regional healthcare,,161311,Critical Access Hospitals,true,,,
200 main street,5632521121,52052,,043,25,guttenberg,IA,guttenberg municipal hospital,,161312,Critical Access Hospitals,true,,,
1118 11th street,5636594200,52742,,045,90,dewitt,IA,genesis medical center-dewitt,,161313,Critical Access Hospitals,true,,,
710 north 12th street,6413322201,50115,,077,25,guthrie center,IA,guthrie county hospital,,161314,Critical Access Hospitals,true,,,
23019 highway 149,6416222720,52591,,107,14,sigourney,IA,keokuk county health center,,161315,Critical Access Hospitals,true,,,
112 jefferson street,5634223811,52175,,065,25,west union,IA,gundersen palmer lutheran hospital and clinics,,161316,Critical Access Hospitals,true,,,
300 w may st,3196425543,52301,,095,25,marengo,IA,compass memorial healthcare,,161317,Critical Access Hospitals,true,,,
40 1st street se,5635683411,52172,,5,25,waukon,IA,veterans memorial hospital,,161318,Critical Access Hospitals,true,,,
901 davidson street nw,5632457000,52043,,043,25,elkader,IA,mercyone elkader medical center,,161319,Critical Access Hospitals,true,,,
909 west first street,5635783275,50674,,017,25,sumner,IA,community memorial hospital medical center,,161320,Critical Access Hospitals,true,,,
1100 s 10th ave,7124722591,51246,,119,25,rock rapids,IA,avera merrill pioneer hospital,,161321,Critical Access Hospitals,true,,,
610 tenth street,5154653547,50220,,049,25,perry,IA,dallas county hospital,,161322,Critical Access Hospitals,true,,,
616 north eighth street,6417326000,50461,,131,25,osage,IA,mitchell county regional health,,161323,Critical Access Hospitals,true,,,
2959 us highway 275,7123821515,51640,,071,25,hamburg,IA,george c grape community hospital,,161324,Critical Access Hospitals,true,,,
1000 west lincoln way,5153862114,50129,,073,25,jefferson,IA,greene county medical center,,161325,Critical Access Hospitals,true,,,
300 west hutchings street,5154622373,50273,,121,25,winterset,IA,madison county health care system,,161326,Critical Access Hospitals,true,,,
509 north madison street,6416642145,52537,,051,25,bloomfield,IA,davis county hospital,,161327,Critical Access Hospitals,true,,,
235 8th avenue west,5635472101,52136,,089,25,cresco,IA,regional health services of howard county,,161328,Critical Access Hospitals,true,,,
700 w grove st,5636522474,52060,,097,25,maquoketa,IA,jackson county regional health center,,161329,Critical Access Hospitals,true,,,
515 pacific avenue,7125632611,50025,,9,25,audubon,IA,audubon county memorial hospital,,161330,Critical Access Hospitals,true,,,
308 north maple avenue,6413944121,50659,,037,25,new hampton,IA,mercyone new hampton medical center,,161331,Critical Access Hospitals,true,,,
1550 sixth street,7126552072,51455,,027,17,manning,IA,manning regional healthcare center,,161332,Critical Access Hospitals,true,,,
640 south 19th street,5153822111,50201,,169,25,nevada,IA,story county hospital,,161333,Critical Access Hospitals,true,,,
1000 north 15th street,5153324200,50548,,091,21,humboldt,IA,humboldt county memorial hospital,,161334,Critical Access Hospitals,true,,,
1600 first st east,3193320999,50644,,019,25,independence,IA,buchanan county health center,,161335,Critical Access Hospitals,true,,,
1202 21st avenue,7124768000,51247,,167,25,rock valley,IA,hegg memorial health center,,161336,Critical Access Hospitals,true,,,
304 franklin street,3192933171,52565,,177,25,keosauqua,IA,van buren county hospital,,161337,Critical Access Hospitals,true,,,
201 eighth avenue se,3192836000,50662,,065,25,oelwein,IA,mercyone oelwein medical center,,161338,Critical Access Hospitals,true,,,
312  9th street sw,3193524120,50677,,017,25,waverly,IA,waverly health center,,161339,Critical Access Hospitals,true,,,
1405 nw church street,6414464871,50144,,053,25,leon,IA,decatur county hospital,,161340,Critical Access Hospitals,true,,,
1200 north 7th street,6417743000,50049,,117,25,chariton,IA,lucas county health center,,161341,Critical Access Hospitals,true,,,
6580 165th street,6419322134,52531,,135,25,albia,IA,monroe county hospital,,161342,Critical Access Hospitals,true,,,
709 w main street,5639273232,52057,,055,25,manchester,IA,regional medical center,,161343,Critical Access Hospitals,true,,,
400 east polk street,3196535481,52353,,183,25,washington,IA,washington county hospital and clinics,,161344,Critical Access Hospitals,true,,,
600 9th avenue north,7127542574,51249,,143,25,sibley,IA,osceola community hospital,,161345,Critical Access Hospitals,true,,,
1101 9th street se,7127221271,51250,,167,25,sioux center,IA,sioux center health,,161346,Critical Access Hospitals,true,,,
800 11th st,6412286830,50616,,067,25,charles city,IA,floyd county medical center,,161347,Critical Access Hospitals,true,,,
800 s fillmore st,6413422184,50213,,039,25,osceola,IA,clarke county hospital,,161348,Critical Access Hospitals,true,,,
502 north 9th avenue,3194726200,52349,,011,83,vinton,IA,virginia gay hospital,,161349,Critical Access Hospitals,true,,,
1301 west main street,7124643171,51449,,025,25,lake city,IA,stewart memorial community hospital,,161350,Critical Access Hospitals,true,,,
826 north 8th street,7123622631,51334,,063,25,estherville,IA,avera holy family hospital,,161351,Critical Access Hospitals,true,,,
220 essie davison drive,7125422176,51632,,145,25,clarinda,IA,clarinda regional health center,,161352,Critical Access Hospitals,true,,,
1515 south phillips street,5152952451,50511,,109,25,algona,IA,kossuth regional health center,,161353,Critical Access Hospitals,true,,,
701 e 2nd st,7123643311,51445,,093,25,ida grove,IA,horn memorial hospital,,161354,Critical Access Hospitals,true,,,
1002 south lincoln street,6418422151,50138,,125,25,knoxville,IA,knoxville hospital & clinics,,161355,Critical Access Hospitals,true,,,
407 s white st,3193853141,52641,,087,74,mount pleasant,IA,henry county health center,,161356,Critical Access Hospitals,true,,,
3201 1st street,7128525500,50536,,147,25,emmetsburg,IA,palo alto county hospital,,161357,Critical Access Hospitals,true,,,
417 south east street,6418722260,50060,,185,25,corydon,IA,wayne county hospital,,161358,Critical Access Hospitals,true,,,
1600 diamond street,7124232311,51040,,133,25,onawa,IA,burgess health center,,161359,Critical Access Hospitals,true,,,
1000 lincoln circle se,7127374984,51041,,167,25,orange city,IA,orange city area health system,,161360,Critical Access Hospitals,true,,,
2350 hospital drive,5158329400,50595,,079,25,webster city,IA,van diest medical center,,161361,Critical Access Hospitals,true,,,
300 sioux valley drive,7122255101,51012,,035,25,cherokee,IA,cherokee regional medical center,,161362,Critical Access Hospitals,true,,,
2301 eastern avenue,7126237000,51566,,137,25,red oak,IA,montgomery county memorial hospital,,161363,Critical Access Hospitals,true,,,
2000 s main,6414724111,52556,,101,25,fairfield,IA,jefferson county health center,,161364,Critical Access Hospitals,true,,,
1700 west townline street,6417827091,50801,,175,25,creston,IA,greater regional medical center,,161365,Critical Access Hospitals,true,,,
300 pershing avenue,7122461230,51601,,145,25,shenandoah,IA,shenandoah medical center,,161366,Critical Access Hospitals,true,,,
404 jefferson street,6416283150,50219,,125,25,pella,IA,pella regional health center,,161367,Critical Access Hospitals,true,,,
714 lincoln st ne,7125467871,51031,,149,25,le mars,IA,floyd valley healthcare,,161368,Critical Access Hospitals,true,,,
100 medical parkway,7122652500,51442,,047,25,denison,IA,crawford county memorial hospital,,161369,Critical Access Hospitals,true,,,
211 highland avenue po box 217,7126627105,50583,,161,25,sac city,IA,loring hospital,,161370,Critical Access Hospitals,true,,,
901 montgomery street,5633822911,52101,,191,25,decorah,IA,winneshiek medical center,,161371,Critical Access Hospitals,true,,,
1015 union street,5154323140,50036,,015,25,boone,IA,boone county hospital,,161372,Critical Access Hospitals,true,,,
504 north cleveland street,6414643226,50854,,159,25,mount ayr,IA,ringgold county hospital,,161373,Critical Access Hospitals,true,,,
1213 garfield avenue,7127555161,51537,,165,25,harlan,IA,myrtue medical center,,161374,Critical Access Hospitals,true,,,
1525 west 5th street,7127324030,50588,,021,35,storm lake,IA,buena vista regional medical center,,161375,Critical Access Hospitals,true,,,
1501 east tenth street,7122433250,50022,,029,29,atlantic,IA,cass county memorial hospital,,161376,Critical Access Hospitals,true,,,
one st joseph's drive,6414374111,52544,,7,25,centerville,IA,mercyone centerville medical center,,161377,Critical Access Hospitals,true,,,
1111 3rd street sw,5638757101,52040,,061,25,dyersville,IA,mercyone dyersville medical center,,161378,Critical Access Hospitals,true,,,
1229 c avenue east,6416723100,52577,,123,25,oskaloosa,IA,mahaska  health partnership,,161379,Critical Access Hospitals,true,,,
920 south oak street,6416484631,50126,,083,35,iowa falls,IA,hansen family hospital,,161380,Critical Access Hospitals,true,,,
118 north 7th avenue,7123245041,51201,,141,25,sheldon,IA,sanford sheldon medical center,,161381,Critical Access Hospitals,true,,,
1111 west kimberly road,5634682000,52806,,163,50,davenport,IA,select specialty hospital - quad cities,,162001,Long Term,true,,,
"1111 6th avenue, 4th floor main",5152474400,50314,,153,30,des moines,IA,select specialty hospital - des moines,,162003,Long Term,true,,,
1401 campus drive,5153816519,50325,,049,50,clive,IA,"mercy rehabilitation hospital, llc",,163025,Rehabilitation,true,,,
2801 heartland drive,3196454001,52241,true,103,40,coralville,IA,mercy iowa city rehablitation hospital,,163026,Rehabilitation,true,,,
